Number,ID,Created At,Text,Sentiment,Likes
955,1.82E+18,Sun Jul 28 15:11:25 +0000 2024,"This is the harsh truth of tax payers!!

Tax like England, services like Somalia.

Any answers? @nsitharaman @nsitharamanoffc @IncomeTaxIndia @narendramodi @FinMinIndia

#Budget2024 #IncomeTax https://t.co/20aQSj7Uor",-1,0
959,1.82E+18,Sun Jul 28 15:03:00 +0000 2024,"#budget2024
#GST
#tax
#consumerexpenses
 
The problem is , taxes have been reduced but the cost of goods has been increased to cover the tax difference https://t.co/1aO92T00is",-1,1
960,1.82E+18,Sun Jul 28 15:02:18 +0000 2024,Congrats people of India. This is d first time Im not seeing any Biggboss guys in d trending list.We r finally focusing on more serious and important things.Not adding hashtag to bb coz i dont want to break the growth we are making. #OlympicGames #IndiaAtOlympics #Budget2024,1,0
961,1.82E+18,Sun Jul 28 15:01:43 +0000 2024,"While the NDA Govt. caters to their political agenda, we stand for the welfare of the people. The biased and anti-people #Budget2024 is a clear indication of their intentions. Let's unite and show that #BengalStandsUnited against this injustice.
#BengalStandsUnited #KhelaHobe https://t.co/X2xILqSd77",-1,0
962,1.82E+18,Sun Jul 28 15:00:44 +0000 2024,"@swaminathankp Budget 2024-25 allocates ₹1.48 lakh crore to boost entry-level employment, with ELI schemes, internships, and skilling programs. #Budget2024 #Employment",1,0
963,1.82E+18,Sun Jul 28 15:00:06 +0000 2024,"After increase in Securities transaction tax 
Speculation and short term trading is now more costly 
#BudgetReactions 
#Budget2024 https://t.co/YDkM8OYREK",0,0
965,1.82E+18,Sun Jul 28 14:57:05 +0000 2024,"#BudgetForViksitBharat
Union Budget 2024-25 proposes: ₹3 lakh crore for women and girls' schemes, over 100 new India Post Payment Bank branches in the North East, and completion of the Polavaram Irrigation Project to ensure national food security. 
via NaMo App",1,0
966,1.82E+18,Sun Jul 28 14:56:21 +0000 2024,"10 year back I put 1 lac in One stock , now its value is 10 lac.
Govt is only seeing  9 lac capital , they don't see the 10 year of vision and patience one investor put behind capital.
#Budget2024 #India #LTCG #StockMarket #TaxUpdates #Income #stockmarketsindia #NirmalaSitharaman https://t.co/qA7Rem5a8M",-1,12
971,1.82E+18,Sun Jul 28 14:52:25 +0000 2024,Tax like England and facilities like Somalia #Budget2024,-1,0
974,1.82E+18,Sun Jul 28 14:50:00 +0000 2024,"#Tax relief came in the Union Budget 2024-25, though not in the form expected. The relief will be more visible for lower income households with the increase in the standard deduction levels, and the redefinition of the tax slabs, @DrNilanjanG https://t.co/33U9tyYS4a",-1,3
977,1.82E+18,Sun Jul 28 14:46:14 +0000 2024,"it breaks my heart to see my government's attitude towards taxpayers. tax system is such a shame. and we have incompetent irresponsible good for nothing beurocrats everywhere. WOW.
@BJP4India @nsitharaman @nsitharamanoffc @AmitShah @FinMinIndia @HMOIndia @PMOIndia #Budget2024",-1,2
984,1.82E+18,Sun Jul 28 14:37:44 +0000 2024,"With BJP neglecting the rights of taxpayers there is a threat of disintegration of the country: Muthuramalingam

#ModiHaiToMumkinHai
#BudgetReactions #Budget2024 https://t.co/ymnzPCer9b",-1,3
985,1.82E+18,Sun Jul 28 14:36:11 +0000 2024,"#Budget2024 brazenly discriminates against Bengal and other states as it has been curated to satisfy the political interests of @BJP4India and their shaky NDA Govt. 

Shame!
#BengalStandsUnited
#KhelaHobe",-1,0
986,1.82E+18,Sun Jul 28 14:35:48 +0000 2024,"Despite multiple appeals to mitigate floods in Maldaha Uttar and Maldaha Dakshin, the Bangla-Birodhi Centre has turned a blind eye.

In #Budget2024, they proposed funds for flood control but deliberately excluded Bengal.
#BengalStandsUnited
#KhelaHobe",-1,0
989,1.82E+18,Sun Jul 28 14:28:40 +0000 2024,"U earn, spend or invest @nsitharaman is there to take the cut. Tax on tax on tax. 

Indian Taxpayers: Govt's Golden Goose | Union Budget 2024 | Vantage with... https://t.co/Y4i1C0aZfV via @YouTube",-1,0
990,1.82E+18,Sun Jul 28 14:23:45 +0000 2024,"#BudgetForViksitBharat
Union Budget 2024-25: Enhanced Shram Suvidha and Samadhan Portals.
via NaMo App https://t.co/lIy18WkW9y",1,0
997,1.82E+18,Sun Jul 28 14:11:07 +0000 2024,"@nsitharaman @narendramodi 
Why can't we have with indexation and without indexation similar to old and new tax regime for salary tax?

This will have real benefits.

#Budget2024",0,0
999,1.82E+18,Sun Jul 28 14:09:49 +0000 2024,"This is ad  I m seeing on Facebook for 2 days.
They are already promoting daba trading as tax free.
FM unleash the beast of unregulated market. 
Please do not go into Daba trade to save little tax. You can lose your entire capital.
#Budget2024 #SEBI #investing #StockMarket #daba https://t.co/aCVKtSFFWp",0,1
1000,1.82E+18,Sun Jul 28 14:08:44 +0000 2024,"Whether it’s consolidating the Hindus or not, BJP is consolidating the middle class into one block.

#musings #Budget2024",-1,0
1002,1.82E+18,Sun Jul 28 13:54:21 +0000 2024,Union Budget 2024: Income tax clearance now mandatory to leave India https://t.co/lhbIuV0Tth,0,1
1006,1.82E+18,Sun Jul 28 13:50:49 +0000 2024,"GST rate on Helicopter 5%, GST on car approx. 50% ( including cess ) 
How tax friendly this government is 😅 .

NOTE:: Even for personal use helicopters have 30.1% GST 
#TaxLoot #Budget2024 #bjpfailedbudget https://t.co/ICM9FQbGVD",-1,0
1009,1.82E+18,Sun Jul 28 13:48:54 +0000 2024,"By this logic - why are you not reducing taxes on salaries which are not showing a high growth? @nsitharaman 

@FinMinIndia 

#Budget2024 
#BudgetReactions 
#tonedeaf 
#outofsyncwithreality
#dataSience misuse.

https://t.co/fhXK7xVgxd",-1,0
1017,1.82E+18,Sun Jul 28 13:33:09 +0000 2024,"#BudgetReactions after #Budget2024 announcements

🔹Banglore IT guy 🤬
🔹Bihar Contractor 🤑

People have lost trust in #BJP
#bjpfailedbudget

#NirmalaSitharaman should resign

Is this BJP's plan for a trillion dollar economy?",-1,1
1020,1.82E+18,Sun Jul 28 13:28:15 +0000 2024,"Taxes that middle classes has to pay 🇮🇳🚨🫠🤯

#stockmarket #stockmarketindia #thestockmarketlive #intradaytrading
#stocktrading #unionbudget #nirmalasitharaman #budgetwithtsml #budget2024updates #budget2024
#indiabudget https://t.co/yyG0rlQbRR",0,0
1021,1.82E+18,Sun Jul 28 13:28:09 +0000 2024,"How much has the Indian Government spent on each sector? Here are the details; take a look.

#Budget2024 #UnionBudget2024 https://t.co/nMdgwAAYQv",0,3
1024,1.82E+18,Sun Jul 28 13:17:36 +0000 2024,"#Budget2024. How d new #Modi govt ws ble 2 return 2 power is in itself an enigma, add to ds an unelected unqualified Finance Minister who has been mishandling d ppl's money 4 yrs &amp; u hv a bigger enigma. Ppl of #India did not deserve ds. #LTCG #GST. @ShekharGupta @KaranThapar_TTP",-1,0
1025,1.82E+18,Sun Jul 28 13:16:43 +0000 2024,"With innovative policies and investments in renewable energy, waste management, and eco-friendly practices, we are taking significant steps towards a greener and more sustainable India. 
Let's embrace these changes and work together for a better future!

#junkbazar #Budget2024 https://t.co/Y9C6Qf5TAI",1,1
1026,1.82E+18,Sun Jul 28 13:15:33 +0000 2024,"#BudgetForViksitBharat
Union Budget 2024-25 allocates ₹11.11 lakh crore for capital expenditure, including ₹1.5 lakh crore for interest-free state loans and ₹26,000 crore for road connectivity projects, boosting national infrastructure and connectivity.
via NaMo App",1,1
1027,1.82E+18,Sun Jul 28 13:15:24 +0000 2024,"#BudgetForViksitBharat
Union Budget 2024-25 proposes a financial sector vision for the next 5 years and a climate finance taxonomy to boost capital availability for climate action.
via NaMo App",1,0
1028,1.82E+18,Sun Jul 28 13:15:17 +0000 2024,"#BudgetForViksitBharat
The Union Budget 2024-25 aims to elevate the Vishnupad and Mahabodhi Temple corridors to world-class status, develop Rajgir comprehensively, and restore Nalanda University while enhancing Nalanda as a tourist hub.
via NaMo App",1,0
1029,1.82E+18,Sun Jul 28 13:14:31 +0000 2024,"#BudgetForViksitBharat
The Union Budget 2024-25 announces the creation of the Anusandhan National Research Fund with a ₹1 lakh crore pool. This fund aims to boost private sector-led research and innovation, focusing on basic research and prototype development.
via NaMo App",1,0
1030,1.82E+18,Sun Jul 28 13:14:23 +0000 2024,"#BudgetForViksitBharat
The Union Budget 2024-25 introduces key land reforms: improved land administration, unique IDs for rural land parcels, and a new land registry for rural areas.
via NaMo App",1,0
1031,1.82E+18,Sun Jul 28 13:14:14 +0000 2024,"#BudgetForViksitBharat
In labour reforms, the Union Budget 2024-25 proposes integrating the e-Shram portal with other platforms to offer a comprehensive labour services solution. This will include connecting job seekers with employers and skill providers.
via NaMo App",1,0
1032,1.82E+18,Sun Jul 28 13:14:05 +0000 2024,"#BudgetForViksitBharat
Major boost for the space economy in the Union Budget 2024! The space sector will expand fivefold in the next decade, with an additional ₹1,000 crore announced to fuel growth and innovation.
via NaMo App",1,0
1033,1.82E+18,Sun Jul 28 13:13:58 +0000 2024,"#BudgetForViksitBharat
Big news for tribal communities in the Union Budget 2024-25! The PM Janjatiya Unnat Gram Abhiyan will cover 63,000 villages and benefit 5 crore tribal people, marking a transformative step towards holistic development.
via NaMo App",1,0
1035,1.82E+18,Sun Jul 28 13:12:53 +0000 2024,"#BudgetForViksitBharat
The Union Budget 2024-25 focuses on expanding industrial infrastructure by developing new industrial parks in around 100 cities. Additionally, 12 industrial parks have been approved under the National Industrial Corridor Development Programme.
via NaMo App",1,0
1036,1.82E+18,Sun Jul 28 13:12:46 +0000 2024,"#BudgetForViksitBharat
The Union Budget 2024 announces a new platform for the Insolvency &amp; Bankruptcy Code, enhancing transparency and consistency. The IBC has resolved over 1,000 companies, achieving direct recovery of ₹3.3 lakh crore for creditors.
via NaMo App",1,0
1037,1.82E+18,Sun Jul 28 13:11:14 +0000 2024,Union Budget 2024 | What are the political implications? This week on “Talking Politics” - https://t.co/uZQLSyPYsb via @YouTube,0,18
1038,1.82E+18,Sun Jul 28 13:11:09 +0000 2024,"#TaxTerrorism

This will be the last term of @narendramodi govt for sure. @BJP4India govt loves penalizing salaried class in #India mercilessly &amp; thanks to @nsitharaman 4 bringing &amp; promoting British tax regime. Being salaried class is a crime here

#RIP #taxpayer #Budget2024",-1,0
1039,1.82E+18,Sun Jul 28 13:10:19 +0000 2024,"#BudgetForViksitBharat
The Union Budget 2024-25 extends the services of the Centre for Processing Accelerated Corporate Exit to facilitate the voluntary closure of LLPs.
via NaMo App",0,0
1040,1.82E+18,Sun Jul 28 13:07:57 +0000 2024,"""Central funds to Karnataka increased under Modi government"": Sitharaman counters Congress-led state's allegations

Read @ANI Story |   https://t.co/fzzvOmxOZZ
#NirmalaSitharaman #Karnataka #Budget2024 https://t.co/Mtn3aeu7xI",1,48
1053,1.82E+18,Sun Jul 28 13:03:01 +0000 2024,"Half the Kashmiri men are swimming in Lakes and Rivers today. How about imposing some tax on swimming outdoors @nsitharaman ? 

#Budget2024 #Kashmir #Weather",-1,0
1056,1.82E+18,Sun Jul 28 13:00:23 +0000 2024,"Why doesn't finance ministry work to bring more people under the income tax system instead of focusing day and night on squeezing money from middle-class salaried individuals? 

#Budget2024 #BudgetReactions #IncomeTax",-1,1
1057,1.82E+18,Sun Jul 28 13:00:01 +0000 2024,"#UnionBudget2024 | For an economy, the transition towards a #greenfuture needs a deeper management of policy, people, &amp; underlying technologies. Explore how #Budget2024 proposals seek to impact the steps required to tackle #climatechange! Visit https://t.co/elT1ZXZPvI | #ESG https://t.co/15HmAWWVPg",0,0
1060,1.82E+18,Sun Jul 28 12:58:19 +0000 2024,"#BudgetForViksitBharat
The Union Budget 2024-25 focuses on GYAN—Garib, Yuva, Annadata, and Nari—for holistic development. The PM Garib Kalyan Anna Yojana has been extended for five years, benefiting millions!
via NaMo App",1,0
1061,1.82E+18,Sun Jul 28 12:54:23 +0000 2024,"Implication of #Budget2024 on Infrastructure Sector🏗️

Total Capital expenditure (#capex) planned for FY25 is INR 11trn, i.e. 16% YoY growth. https://t.co/JnOXNhNCUX",1,1
1065,1.82E+18,Sun Jul 28 12:51:42 +0000 2024,@narendramodi ji wanted to give gift to middle class people of India especially salaried but @nsitharaman had other ideas #Budget2024 https://t.co/WjqpN5Jt1l,-1,0
1066,1.82E+18,Sun Jul 28 12:49:39 +0000 2024,"Met with Union Finance &amp; Corporate Affairs Minister Smt. @nsitharaman Ji in Bengaluru &amp; congratulated her on presenting her 7th consecutive budget. 

Union Budget 2024 has a lot of focus on the youth, employment &amp; skilling. It aptly lays down the way for developing a https://t.co/9rw32Jknxr",1,1132
1070,1.82E+18,Sun Jul 28 12:46:30 +0000 2024,"India Inc. are at best of their time and Indian youth are unemployed. When the stock markets are at ATH everyday and unemployment rate is also touching new highs. 

Meanwhile खाओ चना, कौन किया है माना! 
#ModiGovernment #Budget2024 https://t.co/YirO8UpXeZ",0,0
1072,1.82E+18,Sun Jul 28 12:39:55 +0000 2024,How many of you are optimistic about your career prospects in India and optimistic about India’s future? #ParisOlympics2024 #MannKiBaat #Budget2024 #India,0,0
1073,1.82E+18,Sun Jul 28 12:39:54 +0000 2024,"@nsitharaman ma'am, 4% tax payer will pay tax as usual after all social media mems &amp; all,but on serious note can they expect any privilege or some kind of tax relief ( not like 25k🥜) in return else this population will also find the way out to pay less tax @PMOIndia #Budget2024",-1,0
1075,1.82E+18,Sun Jul 28 12:32:14 +0000 2024,"#Opinion | Modi Govt's Marginal Defence Budget Hike Makes Light Of Indian Military’s Glaring Firepower Gaps

https://t.co/jfwDgOtfPk

✍️Ranjit Kumar @EditorRanjit 

#IndiaAt2047 #UnionBudget2024 #IndianArmedForces #ABPLivePremium",1,1
1078,1.82E+18,Sun Jul 28 12:30:02 +0000 2024,"Wow Gyan Ganga – Episode 241*

*’PRESENT #BUDGET AND THE IMPACT ON THE INDIAN #ECONOMY’: - Dr #SubramanianSwamy - Episode 241*

*Tonite Sunday At 8pm IST  – LIVE on the following Links 👇🏽*

YT https://t.co/gYneT3RCiX

Fb https://t.co/zRPRa1YVbA 
#TaxTheRich 
#Budget2024",0,0
1079,1.82E+18,Sun Jul 28 12:30:00 +0000 2024,"🚀 Budget 2024: Interest Subsidy for Home Loans is BACK! 🏠Middle-class families can benefit from PMAY! 
Highlights: 1 crore families, ₹10 lakh crore investment, ₹2.2 lakh crore central assistance. 💸
Call us📞+91 7338030744
#PMAY #HomeLoan #Budget2024 #DreamHome #affordable https://t.co/nOvIBLYxeg",1,0
1080,1.82E+18,Sun Jul 28 12:29:13 +0000 2024,"$864MN In Foreign Investment Pulled From India After #Budget2024 .
A record influx of $4bn from foreign portfolio investment this month was dampened by and exodus of cash from july 24-26.

#NirmalaSitharaman https://t.co/xqrXN88VKf",1,1
1083,1.82E+18,Sun Jul 28 12:24:20 +0000 2024,Can anyone highlight what the % of GDP spent on education and health for this financial year. #Budget2024,0,1
1088,1.82E+18,Sun Jul 28 12:04:47 +0000 2024,"@abhishekaitc I am totally stunned , watching the speech of this gentleman,how he has shaken some Biggie's who have no answer to defend but just to pass a fake smile . 
#Budget2024",1,0
1089,1.82E+18,Sun Jul 28 12:04:25 +0000 2024,"The Union Budget 2024 boosts the Electric Vehicle sector by removing customs duties on lithium, making EVs more affordable as lithium batteries comprise 35%-40% of their cost. Through schemes like FAME &amp; EMPS, MHI is accelerating EV adoption in the country.

#MHI #EVs #Budget2024 https://t.co/QNaPVEXyN5",1,63
1090,1.82E+18,Sun Jul 28 12:04:24 +0000 2024,"Heavy coffee drinkers must build their coffee shops very early in life and save a fortune. It is worse than taxes, it takes money whether you earn or not. #Budget2024",-1,0
1091,1.82E+18,Sun Jul 28 12:02:37 +0000 2024,"3% pay income tax, More than 95% pay GST, Those who smoke or drink pay excise duty. So it is everybody's economy. 

#Budget2024",1,0
1093,1.82E+18,Sun Jul 28 11:56:28 +0000 2024,"2/
not far, just before 2014 people use to line up to get gas cylinder when the World's most educated economist was PM. #Budget2024 @ajitanjum @ppbajpai @abhisar_sharma @BDUTT @ravishndtv @_amitbehere @sidd_sharma01 @JayantBhandari5 @DrJain21 @maddyb65 @bvrraju3 @SameerSri2020",1,1
1094,1.82E+18,Sun Jul 28 11:56:08 +0000 2024,"I am not against the Modi government but if something is wrong then it must be questioned. Is this right? You people tell me, the annual income of BCCI is Rs. 17K Cr. and there is no tax on it. But why is there 18% GST on Indian education?  #Budget2024 @dhruv_rathee @nsitharaman https://t.co/KnpFVlXX0E",-1,3
1095,1.82E+18,Sun Jul 28 11:55:45 +0000 2024,Thank you @nsitharamanoffc @narendramodi जी. Middle class taxpayers are so happy for this initiative. #Budget2024 #BudgetReactions,1,0
1097,1.82E+18,Sun Jul 28 11:55:17 +0000 2024,"The more Nirmala sitaraman speaks, 

More my hate increases towards her and the BJP! 

#Budget2024",-1,1
1100,1.82E+18,Sun Jul 28 11:50:07 +0000 2024,"#Budget2024

One positive thing that can emerge from this Budget is that increasingly the Budget is being removed from the macroeconomic jail and put right where it belongs, in the halls of political economy...: @rnhd 

Watch as @Shehzad_Ind and @chachragaurav7 share their https://t.co/ebYc3EkYii",1,18
1101,1.82E+18,Sun Jul 28 11:50:00 +0000 2024,"#Budget2024 Gaps | How the 2024–25 Fiscal Plan Fails People with Disabilities

Various disability rights organizations demand 5% of the total budget for the welfare of people with disabilities, but the current allocation is only 0.025%.

Anusha Paul✍️
https://t.co/YwnqJLMb1z",-1,13
1103,1.82E+18,Sun Jul 28 11:47:00 +0000 2024,"Inspiring action by Lt Gen H S Sahi and Mrs Reet Sahi Zonal President Spear #AWWA in planting a sapling, reinforcing the importance of environmental responsibility and sustainable practices. #GreenLeaders #ClimateChangeAction. Well done. 🤝👍🏽🇮🇳 #Budget2024
#NirmalaSitharaman",1,0
1107,1.82E+18,Sun Jul 28 11:40:13 +0000 2024,"$864MN In Foreign Investment Pulled From India After #Budget2024

A record influx of $4bn from foreign portfolio investors this month was dampened by an exodus of cash from July 24-26.

The govt upping taxes on Futures and Options trades &amp; capital gains from equity investments, https://t.co/fyUkujcAXG",1,23
1108,1.82E+18,Sun Jul 28 11:40:01 +0000 2024,What aspect of the Union Budget 2024 do you think will have the most significant impact on the economy?,0,28
1109,1.82E+18,Sun Jul 28 11:39:35 +0000 2024,"Middle class taxpayer after paying gst, income tax, service tax, toll tax, gift tax, capital gains tax etc
#Budget2024 https://t.co/DXTGMf783L",-1,0
1112,1.82E+18,Sun Jul 28 11:38:24 +0000 2024,"#Budget2024

This Budget is just a Budget to save the NDA govt. The BJP's strategy is never focused on development but rather on just saving their govt: ＠chachragaurav7

The real problem is the demands that political opponents from the south are making to the govt, and that https://t.co/rHQfE0KYnZ",1,7
1113,1.82E+18,Sun Jul 28 11:36:40 +0000 2024,"“🇮🇳 High net worth individuals leaving India due to tax policies and political instability. Middle class burdened. Govt must address this! 💡💸 #IndiaEconomy”
#Budget2024 @narendramodi @nsitharaman @RBI @AmitShah #India",-1,3
1114,1.82E+18,Sun Jul 28 11:35:14 +0000 2024,"#Cracknomics | Ep. 3: Cracking The #Budget2024

@Kabiran_ delves into the stark budget cuts affecting the poor, including slashes in food, fertilizer, and LPG subsidies, as well as labor welfare and rural development funds.

Watch the full episode here: https://t.co/umlYW3tQG6… https://t.co/VST6abccV6",-1,0
1115,1.82E+18,Sun Jul 28 11:31:06 +0000 2024,"Why are India's wealthy leaving? High taxes &amp; freebies burden middle class while HNIs seek better opportunities. Govt must act! 
#BrainDrain #IndianEconomy #TaxReform 
@nsitharaman
@narendramodi
#Budget2024
#Tax
#India
https://t.co/Gv6LzekWFD",-1,2
1117,1.82E+18,Sun Jul 28 11:30:00 +0000 2024,"#UnionBudget2024 has announced a comprehensive package for bolstering #industrialdevelopment with a special focus on the #MSME sector. For an in-depth analysis, download our expert PoV - Click https://t.co/elT1ZXZhGa | #KPMGBudgetLIVE https://t.co/iofWMpHVwm",1,1
1118,1.82E+18,Sun Jul 28 11:30:00 +0000 2024,"#Cracknomics | Ep. 3: Cracking The #Budget2024

@Kabiran_ delves into the stark budget cuts affecting the poor, including slashes in food, fertilizer, and LPG subsidies, as well as labor welfare and rural development funds.

Watch the full episode here: https://t.co/ULh3N7Jgsd https://t.co/BE338h75qn",-1,73
1119,1.82E+18,Sun Jul 28 11:29:44 +0000 2024,"#BudgetForViksitBharat
Union Budget 2024-25 allocates ₹11.11 lakh crore for capital expenditure, including ₹1.5 lakh crore for interest-free state loans and ₹26,000 crore for road connectivity projects, boosting national infrastructure and connectivity. 
via NaMo App",1,0
1120,1.82E+18,Sun Jul 28 11:29:38 +0000 2024,"#BudgetForViksitBharat
Union Budget 2024-25 proposes a financial sector vision for the next 5 years and a climate finance taxonomy to boost capital availability for climate action. 
via NaMo App",1,0
1121,1.82E+18,Sun Jul 28 11:29:26 +0000 2024,"#BudgetForViksitBharat
The Union Budget 2024-25 aims to elevate the Vishnupad and Mahabodhi Temple corridors to world-class status, develop Rajgir comprehensively, and restore Nalanda University while enhancing Nalanda as a tourist hub. 
via NaMo App",1,0
1122,1.82E+18,Sun Jul 28 11:26:52 +0000 2024,"@narendramodi 
@nsitharaman 
Worst #Budget2024 

Asi umeed nahi thi #BJP se.

No relaxation for middle class families 
Very disappointed with #Budget2024 😭😭",-1,0
1123,1.82E+18,Sun Jul 28 11:26:47 +0000 2024,Attending an interaction with Smt.  @nsitharaman ji on Union Budget 2024-25 hosted by the Economic Cell @BJP4Karnataka. I see this as an honest attempt by the government in general and the minister in particular to directly reach out to people and put forth their perspective! https://t.co/wVpB9EepUq,1,10
1124,1.82E+18,Sun Jul 28 11:22:12 +0000 2024,"Tuned into PM Shri @narendramodi‘s #MannKiBaat earlier today. 

In the 112th episode, PM Modi avaru celebrated India's Olympic aspirations, discussed the transformative Union Budget 2024 for the middle class, emphasized support for farmers and sports development.

As a welcome https://t.co/YbziQWfWaW",1,448
1125,1.82E+18,Sun Jul 28 11:20:14 +0000 2024,"IIT Alumnus Sanjay Malhotra explaing us how LTCG 12.5% without indexation is better than earlier rule of 20% with indexation. Further stamp duty and interest will not be considered while calculating cost.

This happens only in India where an engineer running finances.
#Budget2024 https://t.co/r4VjdA3ZnF",0,2
1126,1.82E+18,Sun Jul 28 11:20:03 +0000 2024,"#BudgetForViksitBharat
#EaseOfTaxation On India 
PM @narendramodi Ji Govt has eased tax norms, enhancing the standard of living for the middle-class while keeping inflation rates in check. 
Economists praise fiscal discipline in  #Budget2024 
https://t.co/fwUE0LqvVX
@PMOIndia https://t.co/Pg8bpnWzDR",1,1
1128,1.82E+18,Sun Jul 28 11:19:06 +0000 2024,"What are they gaining by giving such benefits to corporates and getting nothing in return for the country's development?

#Budget2024
#ViksitBharat

@narendramodi
@nsitharaman
@RahulGandhi

5/5",-1,0
1129,1.82E+18,Sun Jul 28 11:18:34 +0000 2024,"Embarassing as hell for FM 😂🤣

#Tax #OpeningCeremony
#Budget2024 
#BudgetReactions
#StockMarket
https://t.co/u0FHL8jVfw",-1,0
1130,1.82E+18,Sun Jul 28 11:18:07 +0000 2024,"#Budget2024

In this Budget, nobody asked the govt to mention Andhra Pradesh and Bihar in particular...: ＠azadrohit

The govt will do everything to ensure they run a smooth and stable administration: ＠RajatSethi86

Watch #TheNationalDebate with ＠madhavgk https://t.co/Qz3ZaURucP",-1,4
1134,1.82E+18,Sun Jul 28 11:13:46 +0000 2024,"#BudgetForViksitBharat
The Union Budget 2024-25 announces the creation of the Anusandhan National Research Fund with a ₹1 lakh crore pool. This fund aims to boost private sector-led research and innovation, focusing on basic research and prototype development. 
via NaMo App",1,0
1135,1.82E+18,Sun Jul 28 11:13:40 +0000 2024,"#BudgetForViksitBharat
The Union Budget 2024-25 introduces key land reforms: improved land administration, unique IDs for rural land parcels, and a new land registry for rural areas. 
via NaMo App",1,0
1136,1.82E+18,Sun Jul 28 11:13:31 +0000 2024,"#BudgetForViksitBharat
In labour reforms, the Union Budget 2024-25 proposes integrating the e-Shram portal with other platforms to offer a comprehensive labour services solution. This will include connecting job seekers with employers and skill providers. 
via NaMo App",1,0
1137,1.82E+18,Sun Jul 28 11:13:26 +0000 2024,"#BudgetForViksitBharat
Major boost for the space economy in the Union Budget 2024! The space sector will expand fivefold in the next decade, with an additional ₹1,000 crore announced to fuel growth and innovation. 
via NaMo App",1,0
1138,1.82E+18,Sun Jul 28 11:13:22 +0000 2024,"#BudgetForViksitBharat
Big news for tribal communities in the Union Budget 2024-25! The PM Janjatiya Unnat Gram Abhiyan will cover 63,000 villages and benefit 5 crore tribal people, marking a transformative step towards holistic development. 
via NaMo App",1,0
1139,1.82E+18,Sun Jul 28 11:12:44 +0000 2024,"#BudgetForViksitBharat
The Union Budget 2024-25 focuses on expanding industrial infrastructure by developing new industrial parks in around 100 cities. Additionally, 12 industrial parks have been approved under the National Industrial Corridor Development Programme. 
via NaMo App",1,0
1140,1.82E+18,Sun Jul 28 11:12:40 +0000 2024,"#BudgetForViksitBharat
The Union Budget 2024 announces a new platform for the Insolvency &amp; Bankruptcy Code, enhancing transparency and consistency. The IBC has resolved over 1,000 companies, achieving direct recovery of ₹3.3 lakh crore for creditors. 
via NaMo App",1,0
1141,1.82E+18,Sun Jul 28 11:11:27 +0000 2024,"#BudgetForViksitBharat
The Union Budget 2024-25 extends the services of the Centre for Processing Accelerated Corporate Exit to facilitate the voluntary closure of LLPs. 
via NaMo App",1,0
1142,1.82E+18,Sun Jul 28 11:09:55 +0000 2024,"#BudgetForViksitBharat
Union Budget 2024-25 proposes: ₹3 lakh crore for women and girls' schemes, over 100 new India Post Payment Bank branches in the North East, and completion of the Polavaram Irrigation Project to ensure national food security. 
via NaMo App",1,0
1143,1.82E+18,Sun Jul 28 11:07:03 +0000 2024,"#BudgetForViksitBharat
The Union Budget 2024-25 focuses on GYAN—Garib, Yuva, Annadata, and Nari—for holistic development. The PM Garib Kalyan Anna Yojana has been extended for five years, benefiting millions! 
via NaMo App",1,0
1144,1.82E+18,Sun Jul 28 11:06:53 +0000 2024,"#Budget2024
Instead of penalising a section of tax payers, instead government should try to cover maximum number of people into the system of filing ITR.

#IncentivisefilingITR

https://t.co/2r4TnwIa1Y",0,0
1145,1.82E+18,Sun Jul 28 11:06:50 +0000 2024,"@RoyAitc @BJP4India #Budget2024 brazenly discriminates against Bengal and other states as it has been curated to satisfy the political interests of @BJP4India and their shaky NDA Govt. 

Shame!
#BengalStandsUnited
#KhelaHobe",-1,0
1146,1.82E+18,Sun Jul 28 11:03:02 +0000 2024,"Finance Minister presented the 2024-25 Budget in Parliament: ₹48.21 lakh crore budget, 4.9% GDP Deficit, and important announcements. This budget has important announcements for all sectors.. read more

👉 https://t.co/KMVlEmTVBR

#Budget2024 #NirmalaSitharaman #UnionBudget24 https://t.co/bcmnzjIpKM",1,0
1149,1.82E+18,Sun Jul 28 10:57:39 +0000 2024,"#Budget2024

In this Budget, whatever the money was given to W.B., i.e., 93K cr, this was a jump of 326%...: ＠Shehzad_Ind

The Union Budget was used by #PMModi and the BJP to bribe leaders...: ＠DrRijuDutta_TMC

Watch #TheNationalDebate with ＠madhavgk https://t.co/UlOBgSqQLV",-1,3
1155,1.82E+18,Sun Jul 28 10:56:02 +0000 2024,"#Budget2024: 31 projects worth Rs 47,016 crore underway for laying new tracks, says #FM as she highlights Karnataka’s #Railwayallocation

@nsitharaman | @BJP4Karnataka | 
https://t.co/xkD7pB0CSR",0,4
1156,1.82E+18,Sun Jul 28 10:55:00 +0000 2024,"@TVMohandasPai @narendramodi #Delhi episode, a collective shame during #ParliamentSession. Needs a serious thinking about the legacy of contract system &amp; accountability of IAS officers, politicians included. 
#Budget2024",-1,0
1160,1.82E+18,Sun Jul 28 10:49:13 +0000 2024,"We were happy that @narendramodi won the election under the leadership of @BJP4India but what @nsitharaman has done and being so arrogant about it shows how incompetent she really is. 
#Budget2024 #Tax #BudgetReactions",-1,0
